feature_name,feature_type,non_null_count,missing_count,missing_pct,zero_count,min_value,median_value,max_value,status
original_cost,numerical,2131,0,0.0,0,100.0,790.78,108000.0,PASS
approval_to_start_months,numerical,2117,14,0.66,391,-1458.0,11.0,329.0,PASS
cumulative_expenditure,numerical,2131,0,0.0,186,0.0,275.74,124623.0,PASS
expenditure_percent_of_original_cost,numerical,2131,0,0.0,186,0.0,46.3035,1197.8162,PASS
monthly_expenditure_change,numerical,2079,52,2.44,706,-61949.9,0.52,2311.71,PASS
monthly_expenditure_growth_pct,numerical,1784,347,16.28,533,-100.0,0.2402,1317200.0,PASS
physical_progress_pct,numerical,2131,0,0.0,112,0.0,72.02,100.0,PASS
monthly_progress_change,numerical,2079,52,2.44,1110,-53.02,0.0,42.0,PASS
progress_growth_rate,numerical,1974,157,7.37,1022,-100.0,0.0,973.1707,PASS
planned_duration_months,numerical,2131,0,0.0,11,-221.0,24.0,512.0,PASS
elapsed_months,numerical,2131,0,0.0,9,-12.0,40.0,1518.0,PASS
remaining_planned_months,numerical,2131,0,0.0,25,-1518.0,-7.0,365.0,PASS
elapsed_duration_ratio,numerical,2118,13,0.61,9,-0.7059,1.2268,33.0,PASS
is_past_original_doc,numerical,2131,0,0.0,808,0.0,1.0,1.0,PASS
efficiency_gap,numerical,2131,0,0.0,40,-1132.8162,8.5333,100.0,PASS
cost_physical_ratio,numerical,2019,112,5.26,148,0.0,0.7879,1600.401,PASS
expected_progress_pct,numerical,2118,13,0.61,14,0.0,100.0,100.0,PASS
progress_gap_pct_points,numerical,2118,13,0.61,151,-100.0,-14.5084,79.5789,PASS
months_since_first_observation,numerical,2131,0,0.0,43,0.0,7.0,7.0,PASS
observation_count_to_date,numerical,2131,0,0.0,0,1.0,8.0,8.0,PASS
physical_progress_1_month_change,numerical,2079,52,2.44,1110,-53.02,0.0,42.0,PASS
physical_progress_2_month_change,numerical,2054,77,3.61,800,-56.0,0.4,94.06,PASS
expenditure_1_month_change,numerical,2079,52,2.44,706,-61949.9,0.52,2311.71,PASS
expenditure_2_month_change,numerical,2054,77,3.61,438,-61798.9,16.05,3710.58,PASS
progress_trend_slope,numerical,2088,43,2.02,284,-7.7143,0.9486,33.0,PASS
expenditure_trend_slope,numerical,2088,43,2.02,314,-12364.6214,9.8129,2052.9214,PASS
negative_expenditure_flag,numerical,2131,0,0.0,2131,0.0,0.0,0.0,PASS
missing_previous_month_flag,numerical,2131,0,0.0,2079,0.0,0.0,1.0,PASS
invalid_duration_flag,numerical,2131,0,0.0,2118,0.0,0.0,1.0,PASS
past_original_doc_flag,numerical,2131,0,0.0,808,0.0,1.0,1.0,PASS
missing_key_date_flag,numerical,2131,0,0.0,2131,0.0,0.0,0.0,PASS
suspicious_value_flag,numerical,2131,0,0.0,2120,0.0,0.0,1.0,PASS
ministry,categorical,2131,0,0.0,0,,,,PASS
sector,categorical,2131,0,0.0,0,,,,PASS
implementing_agency,categorical,2131,0,0.0,0,,,,PASS
state,categorical,2131,0,0.0,0,,,,PASS
