feature_name,feature_type,data_type,non_null_count,missing_count,missing_pct,infinite_count,min_value,median_value,max_value,mean_value,suspicious_count,audit_status
original_cost,numerical,float64,179,0,0.0,0,143.23,750.53,43129.0,1573.0988,0,PASS
approval_to_start_months,numerical,float64,178,1,0.56,0,-17.0,11.0,97.0,11.5056,0,PASS
cumulative_expenditure,numerical,float64,179,0,0.0,0,0.0,355.88,69202.21,1406.5273,0,PASS
expenditure_percent_of_original_cost,numerical,float64,179,0,0.0,0,0.0,61.0916,199.1124,61.6011,0,PASS
monthly_expenditure_change,numerical,float64,170,9,5.03,0,-400.43,0.0,364.52,10.6548,0,PASS
monthly_expenditure_growth_pct,numerical,float64,163,16,8.94,0,-33.4042,0.0,2423.1884,16.4223,0,PASS
physical_progress_pct,numerical,float64,179,0,0.0,0,0.0,98.84,100.0,90.6613,0,PASS
monthly_progress_change,numerical,float64,170,9,5.03,0,0.0,0.0,93.0,1.0211,0,PASS
progress_growth_rate,numerical,float64,162,17,9.5,0,0.0,0.0,13.4146,0.5881,0,PASS
planned_duration_months,numerical,int64,179,0,0.0,0,11.0,24.0,207.0,32.6536,0,PASS
elapsed_months,numerical,int64,179,0,0.0,0,12.0,51.0,237.0,68.2346,0,PASS
remaining_planned_months,numerical,int64,179,0,0.0,0,-207.0,-25.0,51.0,-35.581,0,PASS
elapsed_duration_ratio,numerical,float64,179,0,0.0,0,0.4688,1.875,8.0,2.3431,0,PASS
is_past_original_doc,numerical,int64,179,0,0.0,0,0.0,1.0,1.0,0.9441,0,PASS
efficiency_gap,numerical,float64,179,0,0.0,0,-147.1124,30.0958,99.9983,29.0602,0,PASS
cost_physical_ratio,numerical,float64,172,7,3.91,0,0.0,0.647,5.0,0.7141,0,PASS
expected_progress_pct,numerical,float64,179,0,0.0,0,46.875,100.0,100.0,98.9271,0,PASS
progress_gap_pct_points,numerical,float64,179,0,0.0,0,-100.0,-1.0,1.5263,-8.2658,0,PASS
months_since_first_observation,numerical,int64,179,0,0.0,0,0.0,4.0,5.0,3.1844,0,PASS
observation_count_to_date,numerical,int64,179,0,0.0,0,1.0,5.0,6.0,4.1788,0,PASS
physical_progress_1_month_change,numerical,float64,170,9,5.03,0,0.0,0.0,93.0,1.0211,0,PASS
physical_progress_2_month_change,numerical,float64,155,24,13.41,0,0.0,0.45,20.8,1.3057,0,PASS
expenditure_1_month_change,numerical,float64,170,9,5.03,0,-400.43,0.0,364.52,10.6548,0,PASS
expenditure_2_month_change,numerical,float64,155,24,13.41,0,-375.45,0.12,2649.33,50.1187,0,PASS
progress_trend_slope,numerical,float64,170,9,5.03,0,0.0,0.2371,93.0,2.3348,0,PASS
expenditure_trend_slope,numerical,float64,170,9,5.03,0,-69.825,1.2679,1407.6675,25.5807,0,PASS
negative_expenditure_flag,numerical,int64,179,0,0.0,0,0.0,0.0,0.0,0.0,0,PASS
missing_previous_month_flag,numerical,int64,179,0,0.0,0,0.0,0.0,1.0,0.0503,0,PASS
invalid_duration_flag,numerical,int64,179,0,0.0,0,0.0,0.0,0.0,0.0,0,PASS
past_original_doc_flag,numerical,int64,179,0,0.0,0,0.0,1.0,1.0,0.9441,0,PASS
missing_key_date_flag,numerical,int64,179,0,0.0,0,0.0,0.0,0.0,0.0,0,PASS
suspicious_value_flag,numerical,int64,179,0,0.0,0,0.0,0.0,0.0,0.0,0,PASS
ministry,categorical,object,179,0,0.0,0,,,,,0,PASS
sector,categorical,object,179,0,0.0,0,,,,,0,PASS
implementing_agency,categorical,object,179,0,0.0,0,,,,,0,PASS
state,categorical,object,179,0,0.0,0,,,,,0,PASS
