report_month,sl_no,ministry,sector,project_name,implementing_agency,project_id,legacy_ocms_code,pmgid,state,date_of_approval,start_date,original_doc,revised_doc,actual_date_of_completion,original_cost,revised_cost,completion_cost,cumulative_expenditure
2025-12,1,Department of Higher Education,Education,"Additional Infrastructure at IISc Bangalore-RCC Monolithic for Men Hostel S14, Women Hostel S11 , Postdoctoral Hostel S12 2 Block , International Hostel S 12 , D&E Block S 12 2 Block FR.",IISC Bangalore,610940,,,Karnataka,2021-08,2021-08,2024-03,2025-12,2025-12,420.41,420.41,367.92,367.92
2025-12,2,Department of Higher Education,Education,Hostel 4 -Earlier Known as Hostel 20,"Indian Institute of Technology, Bombay",612135,,,Maharashtra,2022-09,2023-12,2025-09,2025-12,2025-12,182.33,,178.17,178.17
2025-12,3,Department of Telecommunications,Telecommunication,OPTICAL TRANSPORT NETWORK [OTN] PH-4 IN BSNL,BSNL,709858,,,PAN India,2024-02,2024-02,2025-08,2025-10,2025-10,810.99,,786.86,786.86
2025-12,4,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of New Terminal Building, Second Link Taxi Track, Apron Expansion, and associated works at Prayagraj Airport- On Design & Build Basis.",Airport Authority of India [AAI],612063,,,Uttar Pradesh,2023-08,,2024-11,2025-10,2025-10,219.18,274.38,215.51,215.51
2025-12,5,Ministry of Coal,Coal,CHHAL OC SEAM III [6 MTY],South Eastern Coalfields Limited [SECL],400145,,,Chhattisgarh,2013-12,2013-12,2022-03,2026-01,2025-12,610.63,,583.26,583.26
2025-12,6,Ministry of Housing & Urban Affairs,Waste & Water,Nagpur Water Supply Infrastructure Project,Ministry of Housing & Urban Affairs,702842,,,Maharashtra,2015-12,2018-08,2023-03,2026-01,2026-01,273.78,271.86,267.57,267.57
2025-12,7,Ministry of Labour and Employment,Healthcare,Construction of 100 bedded ESIC Hospital & 32 nos. of Staff qtrs at OMPURA J&K.,Employee's State Insurance Company [ESIC],612239,,,Jammu and Kashmir,2019-09,2021-12,2024-09,2025-12,2025-12,131.05,164.93,162.05,162.05
2025-12,8,Ministry of Petroleum & Natural Gas,Oil & Gas,Debottlenecking and Augmentation of Cryogenic facilities at Uran LPG Import Terminal,"Department of Water Resources, River Development & GR",400158,,,Maharashtra,2021-04,2021-04,2024-02,2025-12,2025-12,1164.69,1629.86,1048.74,1048.74
2025-12,9,Ministry of Petroleum & Natural Gas,Oil & Gas,Construction of lube oil blending plant at Rasayani,Ministry of Petroleum & Natural Gas,610985,,,Maharashtra,2022-05,2022-05,2023-12,2025-12,2025-12,423.39,526.26,333.48,333.48
2025-12,10,Ministry of Power,Electricity Generation,BIKANER SOLAR POWER PROJECT,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,709748,,,Rajasthan,2021-10,2022-05,2024-04,2025-12,2025-12,5491.89,,5523.11,5523.11
2025-12,11,Ministry of Power,Electricity Generation,Khurja super Thermal Power Plant [2X660 MW],THDC India Limited,602194,,,Uttar Pradesh,2019-03,2019-08,2024-02,2025-09,2025-09,11089.42,13276.2,12888.23,12888.23
2025-12,12,Ministry of Power,Transmission & Distribution,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,Power Grid Corporation of India Limited [POWERGRID],611659,,,Rajasthan,2023-03,2023-03,2024-09,2026-01,2026-01,1433.28,1433.0,1433.0,1433.0
2025-12,13,Ministry of Railways,Railways,Adraj Moti Vijapur 40 Kms,Western Railway (WR) - II,611937,,,Gujarat,2022-05,2022-05,2026-05,2025-12,2025-12,417.53,417.53,513.61,513.61
2025-12,14,Ministry of Railways,Railways,Western Region Video Surveillance Project,RCIL,705300,,,PAN India,2020-06,2023-04,2023-12,2026-07,2026-01,227.59,,0.0,0.0
2025-12,15,Ministry of Railways,Railways,"Phephna-Indara, Mau-Shahganj doubling excluding Indara-Mau",RVNL - I,705779,,,Uttar Pradesh,2017-05,2019-10,2024-12,2025-12,2025-12,1178.0,2215.0,2217.85,2217.85
