feature_name,category,data_type,non_null_count,missing_count,missing_pct,min_value,p25,median,p75,max_value,mean,std,outlier_count_iqr,suspicious_value_count,notes
ministry,Static/Project,object,179,0,0.0,,,,,,,,0,0,Unique: 29. Top: Ministry of Road Transport & Highways: 127; Ministry of Petroleum & Natural Gas: 9; Ministry of Power: 9
sector,Static/Project,object,179,0,0.0,,,,,,,,0,0,Unique: 12. Top: Roads & Highways: 127; Oil & Gas: 12; Transmission & Distribution: 10
implementing_agency,Static/Project,object,179,0,0.0,,,,,,,,0,0,Unique: 28. Top: National Highways Authority of India [NHAI]: 79; MoRTH: 34; NHIDCL: 11
state,Static/Project,object,179,0,0.0,,,,,,,,0,0,Unique: 44. Top: Gujarat: 18; Andhra Pradesh: 17; Uttar Pradesh: 14
original_cost,Static/Project,float64,179,0,0.0,143.23,303.72,750.53,1367.885,43129.0,1573.0988,4247.6973,10,0,"IQR bounds: [-1292.53, 2964.13]"
approval_to_start_months,Static/Project,float64,178,1,0.56,-17.0,5.0,11.0,15.0,97.0,11.5056,11.3438,8,0,"IQR bounds: [-10.00, 30.00]"
cumulative_expenditure,Financial,float64,179,0,0.0,0.0,139.745,355.88,798.215,69202.21,1406.5273,5861.0753,19,0,"IQR bounds: [-847.96, 1785.92]"
expenditure_percent_of_original_cost,Financial,float64,179,0,0.0,0.0,42.2624,61.0916,82.2709,199.1124,61.6011,35.8713,4,0,"IQR bounds: [-17.75, 142.28]"
monthly_expenditure_change,Financial,float64,170,9,5.03,-400.43,0.0,0.0,3.8875,364.52,10.6548,63.3175,38,0,"IQR bounds: [-5.83, 9.72]"
monthly_expenditure_growth_pct,Financial,float64,163,16,8.94,-33.4042,0.0,0.0,0.4933,2423.1884,16.4223,189.7771,39,0,"IQR bounds: [-0.74, 1.23]"
physical_progress_pct,Physical,float64,179,0,0.0,0.0,94.9,98.84,100.0,100.0,90.6613,22.7787,25,0,"IQR bounds: [87.25, 107.65]"
monthly_progress_change,Physical,float64,170,9,5.03,0.0,0.0,0.0,0.0,93.0,1.0211,7.2281,42,0,"IQR bounds: [0.00, 0.00]"
progress_growth_rate,Physical,float64,162,17,9.5,0.0,0.0,0.0,0.0075,13.4146,0.5881,1.6721,40,0,"IQR bounds: [-0.01, 0.02]"
planned_duration_months,Schedule,int64,179,0,0.0,11.0,24.0,24.0,30.0,207.0,32.6536,24.3925,31,0,"IQR bounds: [15.00, 39.00]"
elapsed_months,Schedule,int64,179,0,0.0,12.0,39.0,51.0,87.5,237.0,68.2346,46.1796,12,0,"IQR bounds: [-33.75, 160.25]"
remaining_planned_months,Schedule,int64,179,0,0.0,-207.0,-43.0,-25.0,-13.0,51.0,-35.581,41.4943,14,0,"IQR bounds: [-88.00, 32.00]"
elapsed_duration_ratio,Schedule,float64,179,0,0.0,0.4688,1.4729,1.875,2.7083,8.0,2.3431,1.4425,12,0,"IQR bounds: [-0.38, 4.56]"
is_past_original_doc,Schedule,int64,179,0,0.0,0.0,1.0,1.0,1.0,1.0,0.9441,0.2303,10,0,"IQR bounds: [1.00, 1.00]"
efficiency_gap,Interaction/Baseline,float64,179,0,0.0,-147.1124,6.245,30.0958,49.3907,99.9983,29.0602,37.1663,3,0,"IQR bounds: [-58.47, 114.11]"
