project_id,project_name,completion_report_month,actual_date_of_completion,intended_t2_cutoff,selected_snapshot_month,lead_time_months,selection_status,usable_for_training,exclusion_reason
610940,"Additional Infrastructure at IISc Bangalore-RCC Monolithic for Men Hostel S14, Women Hostel S11 , Postdoctoral Hostel S12 2 Block , International Hostel S 12 , D&E Block S 12 2 Block FR.",2025-12,2025-12,2025-10,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
612135,Hostel 4 -Earlier Known as Hostel 20,2025-12,2025-12,2025-10,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
709858,OPTICAL TRANSPORT NETWORK [OTN] PH-4 IN BSNL,2025-12,2025-10,2025-08,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
612063,"Construction of New Terminal Building, Second Link Taxi Track, Apron Expansion, and associated works at Prayagraj Airport- On Design & Build Basis.",2025-12,2025-10,2025-08,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
400145,CHHAL OC SEAM III [6 MTY],2025-12,2025-12,2025-10,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
702842,Nagpur Water Supply Infrastructure Project,2025-12,2026-01,2025-11,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
612239,Construction of 100 bedded ESIC Hospital & 32 nos. of Staff qtrs at OMPURA J&K.,2025-12,2025-12,2025-10,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
400158,Debottlenecking and Augmentation of Cryogenic facilities at Uran LPG Import Terminal,2025-12,2025-12,2025-10,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
610985,Construction of lube oil blending plant at Rasayani,2025-12,2025-12,2025-10,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
709748,BIKANER SOLAR POWER PROJECT,2025-12,2025-12,2025-10,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
602194,Khurja super Thermal Power Plant [2X660 MW],2025-12,2025-09,2025-07,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,2025-12,2026-01,2025-11,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
611937,Adraj Moti Vijapur 40 Kms,2025-12,2025-12,2025-10,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
705300,Western Region Video Surveillance Project,2025-12,2026-01,2025-11,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
705779,"Phephna-Indara, Mau-Shahganj doubling excluding Indara-Mau",2025-12,2025-12,2025-10,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
705784,Janghai-Phaphamau Doubling Rail Line Project,2025-12,2025-01,2024-11,,,EXCLUDED_NO_TABLE6_HISTORY,False,Project completed in Dec 2025 without prior Table 6 monitoring snapshots in dataset.
400065,Installation of 4th Slab Caster along with its Auxiliaries and a New Ladle Furnace in SMS-II at Rourkela Steel Plant,2025-12,,,,,EXCLUDED_NO_VERIFIED_ACTUAL_DATE,False,actual_date_of_completion is NA in Table 3. Excluded to avoid fabricating completion dates.
400235,"Setting up a common user Petroleum Terminal at Jammu, J&K for resitement of existing PSU OMC's Depots from Jammu City",2026-01,2026-01,2025-11,,,EXCLUDED_NO_OBSERVATION_BEFORE_T2,False,"Actual completion was 2026-01, requiring snapshot <= 2025-11, but earliest monitoring record is 2025-12."
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2026-01,2026-01,2025-11,,,EXCLUDED_NO_OBSERVATION_BEFORE_T2,False,"Actual completion was 2026-01, requiring snapshot <= 2025-11, but earliest monitoring record is 2025-12."
400234,Third Railway Line between Patratu-Sonnagar [291 kms],2026-01,2026-02,2025-12,2025-12,2.0,EXACT_T2_SNAPSHOT,True,NONE
702948,Jaunpur Sewerage Management Infrastructure Project,2026-02,2026-03,2026-01,2026-01,2.0,EXACT_T2_SNAPSHOT,True,NONE
709790,Replacement and Extension of Jetty Pipelines [REJP] at KR,2026-02,2026-02,2025-12,2025-12,2.0,EXACT_T2_SNAPSHOT,True,NONE
709789,Installation of Independent De- Aromatized Solvents [DAS] production facilities at MR,2026-02,2026-02,2025-12,2025-12,2.0,EXACT_T2_SNAPSHOT,True,NONE
400161,"PP Project, Pata",2026-02,2026-02,2025-12,2025-12,2.0,EXACT_T2_SNAPSHOT,True,NONE
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2026-02,2026-03,2026-01,2026-01,2.0,EXACT_T2_SNAPSHOT,True,NONE
705789,Penukonda - Dharmavaram Doubling Project [41.5 Km],2026-02,2026-02,2025-12,2025-12,2.0,EXACT_T2_SNAPSHOT,True,NONE
611944,Quadrupling between Gandhidham Adipur with Y connection at Adipur for providing direct entry towards Mundra Port and Bhuj and high level platform at Gopalpur 11Kms,2026-02,2026-02,2025-12,2025-12,2.0,EXACT_T2_SNAPSHOT,True,NONE
705635,Trivandrum- Kanyakumari,2026-02,2026-03,2026-01,2026-01,2.0,EXACT_T2_SNAPSHOT,True,NONE
618424,Construction of 2-Laning with hard shoulders of Hayuliang Hawai bypass Road on EPC basis from design Km. 51.825 to Km. 63.131 Existing Km 45.050 of HayuliangHawai road to Hawai Town under SARDP-NE -Balance work Pkg - IV,2026-02,,,,,EXCLUDED_NO_VERIFIED_ACTUAL_DATE,False,actual_date_of_completion is NA in Table 3. Excluded to avoid fabricating completion dates.
701600,354 Uncovered Villages Scheme,2026-03,,,,,EXCLUDED_NO_VERIFIED_ACTUAL_DATE,False,actual_date_of_completion is NA in Table 3. Excluded to avoid fabricating completion dates.
702631,"Ahmedabad Metro Rail Project, Phase-II",2026-03,,,,,EXCLUDED_NO_VERIFIED_ACTUAL_DATE,False,actual_date_of_completion is NA in Table 3. Excluded to avoid fabricating completion dates.
702633,Delhi-Ghaziabad-Meerut Regional Rapid Transit System [RRTS] corridor,2026-03,2026-02,2025-12,2025-12,2.0,EXACT_T2_SNAPSHOT,True,NONE
