feature,importance,importance_pct
elapsed_months,0.10884566552768664,10.88
expenditure_percent_of_original_cost,0.09705463977939331,9.71
cost_physical_ratio,0.09126804384342113,9.13
efficiency_gap,0.08410651486348315,8.41
remaining_planned_months,0.07153345457487675,7.15
cumulative_expenditure,0.06562586468590965,6.56
expenditure_trend_slope,0.05637849409496276,5.64
state,0.04790472023432928,4.79
elapsed_duration_ratio,0.040352079209340204,4.04
planned_duration_months,0.04022495394158028,4.02
original_cost,0.03468387815694074,3.47
expenditure_1_month_change,0.03292470907472989,3.29
physical_progress_pct,0.026120793010811345,2.61
progress_gap_pct_points,0.024305563600703992,2.43
expenditure_2_month_change,0.02058945781698506,2.06
monthly_expenditure_change,0.019620745852291892,1.96
approval_to_start_months,0.01951329100346309,1.95
monthly_expenditure_growth_pct,0.01820862191086286,1.82
observation_count_to_date,0.01601137571709083,1.6
sector,0.01505065602121821,1.51
physical_progress_2_month_change,0.014510943091298628,1.45
progress_trend_slope,0.012132217028213014,1.21
months_since_first_observation,0.010541175807579541,1.05
physical_progress_1_month_change,0.008590406005060496,0.86
implementing_agency,0.006682434011029742,0.67
monthly_progress_change,0.004844767013057886,0.48
ministry,0.003738779686141725,0.37
progress_growth_rate,0.0036719834206437,0.37
past_original_doc_flag,0.002112898787825202,0.21
expected_progress_pct,0.0014719235094479712,0.15
is_past_original_doc,0.001187889582177817,0.12
missing_previous_month_flag,0.00019105913744333413,0.02
negative_expenditure_flag,0.0,0.0
invalid_duration_flag,0.0,0.0
missing_key_date_flag,0.0,0.0
suspicious_value_flag,0.0,0.0
