feature,importance,importance_pct
sector,0.13833578252703152,13.83
ministry,0.08927122637971463,8.93
planned_duration_months,0.08177770877001345,8.18
elapsed_duration_ratio,0.07526723565974444,7.53
monthly_progress_change,0.06672932037145812,6.67
physical_progress_1_month_change,0.06514195159426685,6.51
approval_to_start_months,0.05849493267598039,5.85
months_since_first_observation,0.03748025938443377,3.75
progress_growth_rate,0.03574127051889383,3.57
cost_physical_ratio,0.02845544567151703,2.85
observation_count_to_date,0.02628078672164631,2.63
monthly_expenditure_change,0.02458986650777611,2.46
expenditure_percent_of_original_cost,0.024230487517366752,2.42
implementing_agency,0.02404853103496487,2.4
original_cost,0.024012699429923935,2.4
cumulative_expenditure,0.023231052557178184,2.32
efficiency_gap,0.022683713992803573,2.27
remaining_planned_months,0.018477949798278055,1.85
expenditure_2_month_change,0.01658744100815061,1.66
progress_trend_slope,0.01517692881505486,1.52
monthly_expenditure_growth_pct,0.01369401499007778,1.37
physical_progress_2_month_change,0.012432278240092695,1.24
physical_progress_pct,0.012305760355512636,1.23
progress_gap_pct_points,0.010576650049459351,1.06
expenditure_trend_slope,0.009529289504551808,0.95
expenditure_1_month_change,0.00876475986385415,0.88
elapsed_months,0.007762503619755014,0.78
missing_previous_month_flag,0.007115139726314252,0.71
past_original_doc_flag,0.007013807149157218,0.7
state,0.006964697962575099,0.7
is_past_original_doc,0.006047181881863515,0.6
expected_progress_pct,0.001779325720589243,0.18
negative_expenditure_flag,0.0,0.0
invalid_duration_flag,0.0,0.0
missing_key_date_flag,0.0,0.0
suspicious_value_flag,0.0,0.0
