project_id,project_name,true_cost_overrun,predicted_probability,risk_classification,top_risk_increasing_factors,top_risk_decreasing_factors
702854,Solapur Sewerage Management Infrastructure Project,0,0.1581,LOW_RISK,elapsed_months (+0.030); planned_duration_months (+0.013); progress_growth_rate (+0.001),efficiency_gap (-0.042); cost_physical_ratio (-0.046); expenditure_percent_of_original_cost (-0.054)
617992,Rehabilitation & upgradation of NH - 167 from design km 187.723 to 234.434 Miryalaguda to Kodad section to two lane with paved shoulder on EPC mode in the state of Telangana,0,0.3954,LOW_RISK,elapsed_duration_ratio (+0.042); remaining_planned_months (+0.035); elapsed_months (+0.028),cumulative_expenditure (-0.031); cost_physical_ratio (-0.033); efficiency_gap (-0.036)
618460,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-28 Ch.756052 to Ch.781282,0,0.2828,LOW_RISK,state (+0.049); observation_count_to_date (+0.006); months_since_first_observation (+0.006),efficiency_gap (-0.034); cost_physical_ratio (-0.043); expenditure_percent_of_original_cost (-0.049)
618142,Widening to Two lane with Paved shoulders from km.40/410 to 84/037 of Thirumanlagiri-- Suryapet Section of NH-365B earstwhile section of SH-16,0,0.2427,LOW_RISK,elapsed_months (+0.033); remaining_planned_months (+0.025); elapsed_duration_ratio (+0.023),cost_physical_ratio (-0.047); expenditure_percent_of_original_cost (-0.054); cumulative_expenditure (-0.077)
619209,4L of existing 2/4L stretch from Lonand to Dive Ghat Km 166.400 to Km 220.900 of Mohol Alandi section of NH-965 Pkg - V,0,0.1501,LOW_RISK,cumulative_expenditure (+0.009); progress_gap_pct_points (+0.009); months_since_first_observation (+0.008),cost_physical_ratio (-0.040); expenditure_percent_of_original_cost (-0.042); elapsed_months (-0.090)
618828,4L from Km 219.600 Khajuri to Km 260.483 Wyndhamganj on NH-75 Sec-V,0,0.104,LOW_RISK,monthly_expenditure_growth_pct (+0.006); original_cost (+0.003); monthly_expenditure_change (+0.002),expenditure_percent_of_original_cost (-0.042); remaining_planned_months (-0.047); elapsed_months (-0.081)
618874,Four Laning of Trichy - Dindigul from km. 333.00 to km. 421.273 of NH-45,0,0.3102,LOW_RISK,elapsed_months (+0.030); remaining_planned_months (+0.022); physical_progress_pct (+0.013),efficiency_gap (-0.050); expenditure_percent_of_original_cost (-0.053); cumulative_expenditure (-0.072)
618237,Rehabilitation and Up-gradation of Pasarlapudi to Dhindi section from Km 105/170 to Km 126/510 of NH -214 New NH -216 to two lane with paved shoulder in the state of Andhra Pradesh under NHDP-IV,0,0.3858,LOW_RISK,elapsed_months (+0.048); elapsed_duration_ratio (+0.043); remaining_planned_months (+0.032),expenditure_trend_slope (-0.027); state (-0.031); expenditure_percent_of_original_cost (-0.033)
618913,4-L of Rajamunda to Barkote Section of NH-23 from km. 287.200 to km. 337.185,0,0.2569,LOW_RISK,elapsed_months (+0.037); remaining_planned_months (+0.032); planned_duration_months (+0.010),cumulative_expenditure (-0.036); cost_physical_ratio (-0.046); expenditure_percent_of_original_cost (-0.057)
619146,Kagvadar - Una Package-IV,1,0.5715,HIGH_RISK,state (+0.048); elapsed_months (+0.042); elapsed_duration_ratio (+0.035),efficiency_gap (-0.024); cost_physical_ratio (-0.030); expenditure_percent_of_original_cost (-0.031)
618665,4L of Sagar - Mohari from Km.8 to Km.50 Pkg-I,0,0.1821,LOW_RISK,implementing_agency (+0.005); expenditure_1_month_change (+0.005); progress_growth_rate (+0.002),cost_physical_ratio (-0.039); efficiency_gap (-0.039); expenditure_percent_of_original_cost (-0.044)
705651,Katni - Bina Third Railway Line [279 km],1,0.8607,HIGH_RISK,expenditure_percent_of_original_cost (+0.082); efficiency_gap (+0.073); cost_physical_ratio (+0.069),state (-0.008); elapsed_duration_ratio (-0.009); expenditure_trend_slope (-0.009)
709827,CONSTRUCTION OF RESIDENTIAL TOWERS AT BIOM KIRANDUL COMPLEX,0,0.1297,LOW_RISK,planned_duration_months (+0.010); observation_count_to_date (+0.006); progress_growth_rate (+0.003),cost_physical_ratio (-0.046); remaining_planned_months (-0.061); elapsed_months (-0.077)
