project_id,project_name,true_delay,predicted_probability,risk_classification,top_risk_increasing_factors,top_risk_decreasing_factors
702854,Solapur Sewerage Management Infrastructure Project,0,0.3121,LOW_RISK,approval_to_start_months (+0.019); physical_progress_1_month_change (+0.018); months_since_first_observation (+0.013),ministry (-0.068); sector (-0.123); planned_duration_months (-0.127)
617992,Rehabilitation & upgradation of NH - 167 from design km 187.723 to 234.434 Miryalaguda to Kodad section to two lane with paved shoulder on EPC mode in the state of Telangana,1,0.9146,HIGH_RISK,sector (+0.039); ministry (+0.031); elapsed_duration_ratio (+0.029),progress_trend_slope (-0.005); expenditure_2_month_change (-0.008); expenditure_trend_slope (-0.010)
618460,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-28 Ch.756052 to Ch.781282,0,0.6177,HIGH_RISK,sector (+0.041); ministry (+0.038); elapsed_duration_ratio (+0.036),progress_growth_rate (-0.036); physical_progress_1_month_change (-0.070); monthly_progress_change (-0.097)
618142,Widening to Two lane with Paved shoulders from km.40/410 to 84/037 of Thirumanlagiri-- Suryapet Section of NH-365B earstwhile section of SH-16,1,0.8634,HIGH_RISK,sector (+0.036); elapsed_duration_ratio (+0.031); ministry (+0.027),progress_trend_slope (-0.004); cost_physical_ratio (-0.009); cumulative_expenditure (-0.010)
619209,4L of existing 2/4L stretch from Lonand to Dive Ghat Km 166.400 to Km 220.900 of Mohol Alandi section of NH-965 Pkg - V,1,0.9035,HIGH_RISK,sector (+0.040); ministry (+0.032); planned_duration_months (+0.029),progress_trend_slope (-0.003); observation_count_to_date (-0.006); state (-0.010)
618828,4L from Km 219.600 Khajuri to Km 260.483 Wyndhamganj on NH-75 Sec-V,0,0.7859,HIGH_RISK,sector (+0.045); ministry (+0.034); planned_duration_months (+0.026),monthly_expenditure_growth_pct (-0.011); remaining_planned_months (-0.020); elapsed_duration_ratio (-0.062)
618874,Four Laning of Trichy - Dindigul from km. 333.00 to km. 421.273 of NH-45,0,0.7769,HIGH_RISK,sector (+0.035); elapsed_duration_ratio (+0.032); ministry (+0.025),elapsed_months (-0.011); monthly_expenditure_change (-0.012); monthly_expenditure_growth_pct (-0.014)
618237,Rehabilitation and Up-gradation of Pasarlapudi to Dhindi section from Km 105/170 to Km 126/510 of NH -214 New NH -216 to two lane with paved shoulder in the state of Andhra Pradesh under NHDP-IV,1,0.9397,HIGH_RISK,sector (+0.037); elapsed_duration_ratio (+0.032); ministry (+0.029),implementing_agency (-0.002); state (-0.002); elapsed_months (-0.004)
618913,4-L of Rajamunda to Barkote Section of NH-23 from km. 287.200 to km. 337.185,1,0.9235,HIGH_RISK,sector (+0.036); elapsed_duration_ratio (+0.034); ministry (+0.030),elapsed_months (-0.003); physical_progress_pct (-0.004); progress_gap_pct_points (-0.005)
619146,Kagvadar - Una Package-IV,0,0.8202,HIGH_RISK,sector (+0.039); elapsed_duration_ratio (+0.032); ministry (+0.031),expenditure_2_month_change (-0.012); monthly_expenditure_growth_pct (-0.015); monthly_expenditure_change (-0.027)
