target,model,threshold,cv_accuracy,cv_precision,cv_recall,cv_f1,test_accuracy,test_precision,test_recall,test_f1
cost_overrun,Logistic Regression,0.2,0.6923,0.3,0.9,0.45,0.7222,0.3333,1.0,0.5
cost_overrun,Logistic Regression,0.3,0.7692,0.3617,0.85,0.5075,0.8056,0.4,0.8,0.5333
cost_overrun,Logistic Regression,0.4,0.8042,0.3947,0.75,0.5172,0.8333,0.4444,0.8,0.5714
cost_overrun,Logistic Regression,0.5,0.8182,0.4062,0.65,0.5,0.8889,0.5714,0.8,0.6667
cost_overrun,Logistic Regression,0.6,0.8252,0.4074,0.55,0.4681,0.9444,0.8,0.8,0.8
cost_overrun,Logistic Regression,0.7,0.8531,0.4783,0.55,0.5116,0.9444,1.0,0.6,0.75
cost_overrun,Random Forest,0.2,0.6434,0.2817,1.0,0.4396,0.6389,0.2778,1.0,0.4348
cost_overrun,Random Forest,0.3,0.8042,0.4091,0.9,0.5625,0.8611,0.5,1.0,0.6667
cost_overrun,Random Forest,0.4,0.9231,0.7368,0.7,0.7179,0.9167,0.6667,0.8,0.7273
cost_overrun,Random Forest,0.5,0.9231,0.8462,0.55,0.6667,0.9444,1.0,0.6,0.75
cost_overrun,Random Forest,0.6,0.9091,0.8889,0.4,0.5517,0.9167,1.0,0.4,0.5714
cost_overrun,Random Forest,0.7,0.8881,1.0,0.2,0.3333,0.9167,1.0,0.4,0.5714
cost_overrun,XGBoost,0.2,0.9161,0.6429,0.9,0.75,0.8333,0.4444,0.8,0.5714
cost_overrun,XGBoost,0.3,0.9161,0.6538,0.85,0.7391,0.8056,0.375,0.6,0.4615
cost_overrun,XGBoost,0.4,0.9161,0.6538,0.85,0.7391,0.8056,0.375,0.6,0.4615
cost_overrun,XGBoost,0.5,0.9231,0.6957,0.8,0.7442,0.8056,0.375,0.6,0.4615
cost_overrun,XGBoost,0.6,0.9301,0.7273,0.8,0.7619,0.8333,0.4286,0.6,0.5
cost_overrun,XGBoost,0.7,0.9301,0.7778,0.7,0.7368,0.8611,0.5,0.6,0.5455
delay,Logistic Regression,0.2,0.8601,0.8273,0.9891,0.901,0.7778,0.7586,0.9565,0.8462
delay,Logistic Regression,0.3,0.9021,0.875,0.9891,0.9286,0.8056,0.7857,0.9565,0.8627
delay,Logistic Regression,0.4,0.9161,0.9,0.9783,0.9375,0.8056,0.7857,0.9565,0.8627
delay,Logistic Regression,0.5,0.9161,0.9082,0.9674,0.9368,0.8056,0.7857,0.9565,0.8627
delay,Logistic Regression,0.6,0.9091,0.9158,0.9457,0.9305,0.7778,0.8,0.8696,0.8333
delay,Logistic Regression,0.7,0.9021,0.9149,0.9348,0.9247,0.7778,0.8261,0.8261,0.8261
delay,Random Forest,0.2,0.8112,0.7731,1.0,0.872,0.7778,0.7419,1.0,0.8519
delay,Random Forest,0.3,0.9021,0.8679,1.0,0.9293,0.8056,0.7667,1.0,0.8679
delay,Random Forest,0.4,0.9231,0.8932,1.0,0.9436,0.8333,0.8148,0.9565,0.88
delay,Random Forest,0.5,0.9161,0.9,0.9783,0.9375,0.8056,0.8077,0.913,0.8571
delay,Random Forest,0.6,0.9091,0.9158,0.9457,0.9305,0.7778,0.8,0.8696,0.8333
delay,Random Forest,0.7,0.8881,0.913,0.913,0.913,0.7778,0.8571,0.7826,0.8182
delay,XGBoost,0.2,0.9161,0.8922,0.9891,0.9381,0.8333,0.8148,0.9565,0.88
delay,XGBoost,0.3,0.9161,0.8922,0.9891,0.9381,0.8056,0.8077,0.913,0.8571
delay,XGBoost,0.4,0.9301,0.91,0.9891,0.9479,0.8056,0.8077,0.913,0.8571
delay,XGBoost,0.5,0.9301,0.91,0.9891,0.9479,0.8056,0.8077,0.913,0.8571
delay,XGBoost,0.6,0.9091,0.9072,0.9565,0.9312,0.8056,0.8077,0.913,0.8571
delay,XGBoost,0.7,0.9021,0.9062,0.9457,0.9255,0.75,0.7917,0.8261,0.8085
