target_domain,baseline_reference,threshold_label,threshold_value,threshold_unit,total_valid_examples,positive_class_count,negative_class_count,positive_class_pct,negative_class_pct,class_balance_status
COST_OVERRUN,ORIGINAL_COST,>= 0% Overrun,0,PERCENT,234,62,172,26.5,73.5,WELL_BALANCED
COST_OVERRUN,ORIGINAL_COST,>= 5% Overrun,5,PERCENT,234,42,192,17.95,82.05,IMBALANCED
COST_OVERRUN,ORIGINAL_COST,>= 10% Overrun,10,PERCENT,234,38,196,16.24,83.76,IMBALANCED
COST_OVERRUN,ORIGINAL_COST,>= 20% Overrun,20,PERCENT,234,26,208,11.11,88.89,IMBALANCED
COST_OVERRUN,ORIGINAL_COST,>= 30% Overrun,30,PERCENT,234,19,215,8.12,91.88,IMBALANCED
COST_OVERRUN,REVISED_COST,>= 0% Overrun vs Revised,0,PERCENT,157,11,146,7.01,92.99,EXTREMELY_IMBALANCED_RARE_CLASS
COST_OVERRUN,REVISED_COST,>= 5% Overrun vs Revised,5,PERCENT,157,3,154,1.91,98.09,EXTREMELY_IMBALANCED_RARE_CLASS
COST_OVERRUN,REVISED_COST,>= 10% Overrun vs Revised,10,PERCENT,157,3,154,1.91,98.09,EXTREMELY_IMBALANCED_RARE_CLASS
COST_OVERRUN,REVISED_COST,>= 20% Overrun vs Revised,20,PERCENT,157,2,155,1.27,98.73,EXTREMELY_IMBALANCED_RARE_CLASS
COST_OVERRUN,REVISED_COST,>= 30% Overrun vs Revised,30,PERCENT,157,1,156,0.64,99.36,EXTREMELY_IMBALANCED_RARE_CLASS
SCHEDULE_DELAY,ORIGINAL_DOC,>= 0 Days Delay,0,DAYS,234,224,10,95.73,4.27,EXTREMELY_IMBALANCED_MAJORITY
SCHEDULE_DELAY,ORIGINAL_DOC,>= 30 Days Delay,30,DAYS,234,222,12,94.87,5.13,EXTREMELY_IMBALANCED_MAJORITY
SCHEDULE_DELAY,ORIGINAL_DOC,>= 60 Days Delay,60,DAYS,234,222,12,94.87,5.13,EXTREMELY_IMBALANCED_MAJORITY
SCHEDULE_DELAY,ORIGINAL_DOC,>= 90 Days Delay,90,DAYS,234,219,15,93.59,6.41,EXTREMELY_IMBALANCED_MAJORITY
SCHEDULE_DELAY,ORIGINAL_DOC,>= 180 Days Delay,180,DAYS,234,214,20,91.45,8.55,EXTREMELY_IMBALANCED_MAJORITY
SCHEDULE_DELAY,ORIGINAL_DOC,>= 0 Months Delay,0,MONTHS,234,224,10,95.73,4.27,EXTREME_IMBALANCE
SCHEDULE_DELAY,ORIGINAL_DOC,>= 1 Months Delay,1,MONTHS,234,222,12,94.87,5.13,EXTREME_IMBALANCE
SCHEDULE_DELAY,ORIGINAL_DOC,>= 3 Months Delay,3,MONTHS,234,219,15,93.59,6.41,EXTREME_IMBALANCE
SCHEDULE_DELAY,ORIGINAL_DOC,>= 6 Months Delay,6,MONTHS,234,214,20,91.45,8.55,EXTREME_IMBALANCE
SCHEDULE_DELAY,ORIGINAL_DOC,>= 12 Months Delay,12,MONTHS,234,186,48,79.49,20.51,MODERATE_IMBALANCE
SCHEDULE_DELAY,ORIGINAL_DOC,>= 24 Months Delay,24,MONTHS,234,125,109,53.42,46.58,WELL_BALANCED
SCHEDULE_DELAY,REVISED_DOC,>= 0 Days Delay vs Revised,0,DAYS,233,221,12,94.85,5.15,EXTREME_IMBALANCE
SCHEDULE_DELAY,REVISED_DOC,>= 30 Days Delay vs Revised,30,DAYS,233,132,101,56.65,43.35,WELL_BALANCED
SCHEDULE_DELAY,REVISED_DOC,>= 60 Days Delay vs Revised,60,DAYS,233,120,113,51.5,48.5,WELL_BALANCED
SCHEDULE_DELAY,REVISED_DOC,>= 90 Days Delay vs Revised,90,DAYS,233,109,124,46.78,53.22,WELL_BALANCED
SCHEDULE_DELAY,REVISED_DOC,>= 180 Days Delay vs Revised,180,DAYS,233,73,160,31.33,68.67,MODERATE_IMBALANCE
